name,country of citizenship,religion or worldview,gender,place of birth,nationality,number of children,residence,Political party,image,occupation,position held,educated at,date of birth,aliases,description,positions_held
Warwick Smith,Australia,,male,Launceston,,,,Liberal Party of Australia,,politician,member of the Australian House of Representatives,Australian National University,+1954-05-13T00:00:00Z,['Warwick Leslie Smith'],Australian politician,"[{'position': 'member of the Australian House of Representatives', 'start_date': '+1984-12-01T00:00:00Z', 'end_date': '+1993-03-13T00:00:00Z', 'replaces': 'Kevin Newman', 'replaced_by': 'Silvia Smith'}, {'position': 'member of the Australian House of Representatives', 'start_date': '+1996-03-02T00:00:00Z', 'end_date': '+1998-10-03T00:00:00Z', 'replaces': 'Silvia Smith', 'replaced_by': ""Michelle O'Byrne""}]"
Alasdair Webster,Australia,,male,East Maitland,,,,Liberal Party of Australia,,politician,member of the Australian House of Representatives,University of New England,+1934-02-12T00:00:00Z,['Alasdair Paine Webster'],Australian politician,"[{'position': 'member of the Australian House of Representatives', 'start_date': '+1984-12-01T00:00:00Z', 'end_date': '+1993-03-13T00:00:00Z', 'replaces': 'Ross Free', 'replaced_by': 'Maggie Deahm'}, {'position': 'Delegate to the Australian Constitutional Convention, 1998', 'start_date': '+1998-02-02T00:00:00Z', 'end_date': '+1998-02-13T00:00:00Z', 'replaces': '', 'replaced_by': ''}]"
Jim Turnour,Australia,,male,,,,,Australian Labor Party,,politician,member of the Australian House of Representatives,University of Queensland,+1966-04-07T00:00:00Z,['James Pearce Turnour'],Australian politician,"[{'position': 'member of the Australian House of Representatives', 'start_date': '+2007-11-24T00:00:00Z', 'end_date': '+2010-08-21T00:00:00Z', 'replaces': 'Warren Entsch', 'replaced_by': 'Warren Entsch'}]"
Kym Richardson,Australia,,male,Adelaide,,,,Liberal Party of Australia,,Australian rules football player,member of the Australian House of Representatives,,+1958-03-16T00:00:00Z,['Kym Charles Richardson'],Australian politician,"[{'position': 'member of the Australian House of Representatives', 'start_date': '+2004-10-09T00:00:00Z', 'end_date': '+2007-11-24T00:00:00Z', 'replaces': 'David Cox', 'replaced_by': 'Amanda Rishworth'}]"
Margaret May,Australia,,female,Ba,,,,Liberal Party of Australia,,politician,member of the Australian House of Representatives,,+1950-06-30T00:00:00Z,['Margaret Ann May'],Australian politician,"[{'position': 'member of the Australian House of Representatives', 'start_date': '+1998-10-03T00:00:00Z', 'end_date': '+2010-07-19T00:00:00Z', 'replaces': 'John Bradford', 'replaced_by': 'Karen Andrews'}]"
Alby Schultz,Australia,,male,Melbourne,,,Goulburn,Liberal Party of Australia,,politician,member of the Australian House of Representatives,,+1945-05-29T00:00:00Z,"['Albert John Schultz', 'Albert Schultz (Australian politician)']",Australian politician,"[{'position': 'member of the Australian House of Representatives', 'start_date': '+1998-10-03T00:00:00Z', 'end_date': '+2013-08-05T00:00:00Z', 'replaces': 'John Sharp', 'replaced_by': 'Angus Taylor'}, {'position': 'Member of the New South Wales Legislative Assembly', 'start_date': '+1988-03-19T00:00:00Z', 'end_date': '+1998-08-31T00:00:00Z', 'replaces': 'Terry Sheahan', 'replaced_by': 'Katrina Hodgkinson'}]"
Tanya Plibersek,Australia,,female,Sydney,,,,Australian Labor Party,Tanya Plibersek 2013 (cropped).jpg,politician,Minister for Health,University of Technology Sydney,+1969-12-02T00:00:00Z,['Tanya Joan Plibersek'],Australian politician,"[{'position': 'Minister for Health', 'start_date': '+2011-12-14T00:00:00Z', 'end_date': '+2013-09-18T00:00:00Z', 'replaces': 'Nicola Roxon', 'replaced_by': 'Peter Dutton'}, {'position': 'Minister for Human Services', 'start_date': '+2010-09-14T00:00:00Z', 'end_date': '+2011-12-14T00:00:00Z', 'replaces': 'Chris Bowen', 'replaced_by': ''}, {'position': 'member of the Australian House of Representatives', 'start_date': '+1998-10-03T00:00:00Z', 'end_date': '', 'replaces': 'Peter Baldwin', 'replaced_by': ''}, {'position': 'Minister for Social Inclusion', 'start_date': '+2010-09-14T00:00:00Z', 'end_date': '+2011-12-14T00:00:00Z', 'replaces': 'Simon Crean', 'replaced_by': 'Mark Butler'}, {'position': 'Minister for Social Services', 'start_date': '+2007-12-03T00:00:00Z', 'end_date': '+2010-09-14T00:00:00Z', 'replaces': 'Brian Howe', 'replaced_by': 'Mark Arbib'}, {'position': 'Minister for the Environment', 'start_date': '+2022-05-23T00:00:00Z', 'end_date': '', 'replaces': 'Sussan Ley', 'replaced_by': ''}]"
Peter Costello,Australia,,male,Melbourne,,,Camberwell,Liberal Party of Australia,Costello1.jpg,economist,member of the Australian House of Representatives,Monash University Faculty of Law,+1957-08-14T00:00:00Z,['Peter Howard Costello'],Australian politician,"[{'position': 'member of the Australian House of Representatives', 'start_date': '+1990-03-24T00:00:00Z', 'end_date': '+2009-10-19T00:00:00Z', 'replaces': 'Roger Shipton', 'replaced_by': ""Kelly O'Dwyer""}, {'position': 'Treasurer of Australia', 'start_date': '+1996-03-11T00:00:00Z', 'end_date': '+2007-12-03T00:00:00Z', 'replaces': 'Ralph Willis', 'replaced_by': 'Wayne Swan'}, {'position': 'Delegate to the Australian Constitutional Convention, 1998', 'start_date': '+1998-02-02T00:00:00Z', 'end_date': '+1998-02-13T00:00:00Z', 'replaces': '', 'replaced_by': ''}]"
Bob Chynoweth,Australia,,male,Richmond,,,,Australian Labor Party,,politician,member of the Australian House of Representatives,,+1941-06-07T00:00:00Z,"['Robert Leslie Chynoweth', 'Robert Chynoweth']",Australian politician,"[{'position': 'member of the Australian House of Representatives', 'start_date': '+1983-03-05T00:00:00Z', 'end_date': '+1984-12-01T00:00:00Z', 'replaces': 'Peter Reith', 'replaced_by': 'Peter Reith'}, {'position': 'member of the Australian House of Representatives', 'start_date': '+1984-12-01T00:00:00Z', 'end_date': '+1990-03-24T00:00:00Z', 'replaces': '', 'replaced_by': 'Frank Ford'}, {'position': 'member of the Australian House of Representatives', 'start_date': '+1993-03-13T00:00:00Z', 'end_date': '+1996-03-02T00:00:00Z', 'replaces': 'Frank Ford', 'replaced_by': 'Bruce Billson'}]"
Fred Chaney,Australia,,male,Perth,,,,Liberal Party of Australia,Recognise Campaign Fred Chaney Presser.jpg,politician,member of the Australian Senate,Aquinas College,+1941-10-28T00:00:00Z,['Frederick Michael Chaney'],Australian politician,"[{'position': 'member of the Australian Senate', 'start_date': '+1973-07-01T00:00:00Z', 'end_date': '+1990-02-27T00:00:00Z', 'replaces': '', 'replaced_by': 'Ian Campbell'}, {'position': 'member of the Australian House of Representatives', 'start_date': '+1990-03-24T00:00:00Z', 'end_date': '+1993-02-08T00:00:00Z', 'replaces': '', 'replaced_by': 'Judi Moylan'}]"
Bob Horne,Australia,,male,Newcastle,,,,Australian Labor Party,,politician,member of the Australian House of Representatives,,+1939-12-18T00:00:00Z,['Robert Hodges Horne'],Australian politician,"[{'position': 'member of the Australian House of Representatives', 'start_date': '+1993-03-13T00:00:00Z', 'end_date': '+1996-03-02T00:00:00Z', 'replaces': '', 'replaced_by': 'Bob Baldwin'}, {'position': 'member of the Australian House of Representatives', 'start_date': '+1998-10-03T00:00:00Z', 'end_date': '+2001-11-10T00:00:00Z', 'replaces': 'Bob Baldwin', 'replaced_by': 'Bob Baldwin'}]"
Ian Robinson,Australia,,male,Coraki,,,,National Party of Australia,Ian Robinson 1970.jpg,politician,member of the Australian House of Representatives,,+1925-03-27T00:00:00Z,['Ian Louis Robinson'],Australian politician (1925-2017),"[{'position': 'member of the Australian House of Representatives', 'start_date': '+1963-11-30T00:00:00Z', 'end_date': '+1984-12-01T00:00:00Z', 'replaces': 'Frank McGuren', 'replaced_by': 'Garry Nehl'}, {'position': 'Member of the New South Wales Legislative Assembly', 'start_date': '+1953-02-14T00:00:00Z', 'end_date': '+1963-10-22T00:00:00Z', 'replaces': 'John Reid', 'replaced_by': 'Richmond Manyweathers'}, {'position': 'member of the Australian House of Representatives', 'start_date': '+1984-12-01T00:00:00Z', 'end_date': '+1990-03-24T00:00:00Z', 'replaces': '', 'replaced_by': 'Harry Woods'}]"
Wal Fife,Australia,,male,Wagga Wagga,,,,Liberal Party of Australia (New South Wales Division),Wallace Fife.jpg,politician,member of the Australian House of Representatives,Canberra Grammar School,+1929-10-02T00:00:00Z,['Wallace Clyde Fife'],Australian politician (1929-2017),"[{'position': 'member of the Australian House of Representatives', 'start_date': '+1975-12-13T00:00:00Z', 'end_date': '+1984-12-01T00:00:00Z', 'replaces': 'David Fairbairn', 'replaced_by': 'Tim Fischer'}, {'position': 'Member of the New South Wales Legislative Assembly', 'start_date': '+1957-12-14T00:00:00Z', 'end_date': '+1975-10-15T00:00:00Z', 'replaces': 'Eddie Graham', 'replaced_by': 'Joe Schipp'}, {'position': 'member of the Australian House of Representatives', 'start_date': '+1984-12-01T00:00:00Z', 'end_date': '+1993-02-08T00:00:00Z', 'replaces': 'Stephen Lusher', 'replaced_by': 'John Sharp'}]"
Andrew Wallace,Australia,,male,Melbourne,,,,Liberal National Party of Queensland,Andrew Wallace.png,barrister,member of the Australian House of Representatives,Queensland University of Technology,+1968-04-23T00:00:00Z,['Andrew Bruce Wallace'],Australian politician (1968-),"[{'position': 'member of the Australian House of Representatives', 'start_date': '+2016-07-02T00:00:00Z', 'end_date': '', 'replaces': 'Mal Brough', 'replaced_by': ''}, {'position': 'Speaker of the House of Representatives', 'start_date': '+2021-11-23T00:00:00Z', 'end_date': '+2022-04-11T00:00:00Z', 'replaces': 'Tony Smith', 'replaced_by': 'Milton Dick'}]"
王树芬,People's Republic of China,,female,,,,,Chinese Communist Party,,politician,National People's Congress deputy,,+1962-00-00T00:00:00Z,[],,"[{'position': ""National People's Congress deputy"", 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
刘蓉华,People's Republic of China,,female,,,,,China Democratic National Construction Association,,politician,National People's Congress deputy,,+1959-01-01T00:00:00Z,[],中华人民共和国政治人物,"[{'position': ""National People's Congress deputy"", 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
米合伦沙·阿不都,People's Republic of China,,female,,,,,Chinese Communist Party,,politician,National People's Congress deputy,Xinjiang Agricultural University,+1985-00-00T00:00:00Z,[],,"[{'position': ""National People's Congress deputy"", 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
苏力坦·加依纳克,People's Republic of China,,,,,,,Chinese Communist Party,,politician,National People's Congress deputy,,+1979-00-00T00:00:00Z,[],,"[{'position': ""National People's Congress deputy"", 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
江香梅,People's Republic of China,,,,,,,,,politician,National People's Congress deputy,,+1962-01-01T00:00:00Z,[],,"[{'position': ""National People's Congress deputy"", 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
韦丽萍,People's Republic of China,,female,,,,,China Democratic League,,politician,National People's Congress deputy,Guangxi Arts University,+1968-01-01T00:00:00Z,[],,"[{'position': ""National People's Congress deputy"", 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
杨剑波,People's Republic of China,,male,,,,,,,politician,National People's Congress deputy,,+1957-01-01T00:00:00Z,[],,"[{'position': ""National People's Congress deputy"", 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
何建洋,People's Republic of China,,,,,,,China Democratic League,,politician,National People's Congress deputy,Jiangxi Normal University,+1959-01-01T00:00:00Z,[],中华人民共和国政治人物,"[{'position': ""National People's Congress deputy"", 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
袁玉珠,People's Republic of China,,,,,,,,,politician,National People's Congress deputy,Taiyuan University of Technology,+1953-00-00T00:00:00Z,[],,"[{'position': ""National People's Congress deputy"", 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
秦生祥,People's Republic of China,,male,Jianli,,,,Chinese Communist Party,,politician,National People's Congress deputy,Central Party School of the Chinese Communist Party,+1957-01-01T00:00:00Z,[],中国人民解放军海军政委、19届中央委员,"[{'position': ""National People's Congress deputy"", 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
项晓云,People's Republic of China,,female,,,,,Chinese Communist Party,,politician,National People's Congress deputy,,+1964-01-01T00:00:00Z,[],,"[{'position': ""National People's Congress deputy"", 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
龙飞凤,People's Republic of China,,female,,,,,Chinese Communist Party,,politician,National People's Congress deputy,,+1977-01-01T00:00:00Z,[],,"[{'position': ""National People's Congress deputy"", 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
魏岚,People's Republic of China,,female,,,,,Chinese Communist Party,,politician,National People's Congress deputy,Xiamen University,+1968-01-01T00:00:00Z,[],,"[{'position': ""National People's Congress deputy"", 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
李同道,People's Republic of China,,male,,,,,Chinese Communist Party,,politician,National People's Congress deputy,,+1964-01-01T00:00:00Z,[],,"[{'position': ""National People's Congress deputy"", 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
赵国红,People's Republic of China,,female,Zibo,,,,Chinese Communist Party,,politician,National People's Congress deputy,,+1954-01-01T00:00:00Z,[],中华人民共和国政治人物,"[{'position': ""National People's Congress deputy"", 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
朱国平,People's Republic of China,,male,,,,,,,politician,National People's Congress deputy,Nanjing University of Science and Technology,+1960-01-01T00:00:00Z,[],,"[{'position': ""National People's Congress deputy"", 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Masagos Zulkifli,Singapore,Islam,male,Colony of Singapore,,,,People's Action Party,"Masagos Zulkifli at The Pentagon, USA - 20061017.jpg",politician,Member of the Parliament of Singapore,USC Marshall School of Business,+1963-04-16T00:00:00Z,['Masagos Zulkifli bin Masagos Mohamad'],Singaporean politician,"[{'position': 'Member of the Parliament of Singapore', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the Parliament of Singapore', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the Parliament of Singapore', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the Parliament of Singapore', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': ""Minister in the Prime Minister's Office"", 'start_date': '+2015-04-09T00:00:00Z', 'end_date': '+2015-09-30T00:00:00Z', 'replaces': 'Lim Swee Say', 'replaced_by': 'Chan Chun Sing'}, {'position': 'Minister for Sustainability and the Environment', 'start_date': '+2015-10-01T00:00:00Z', 'end_date': '+2020-07-26T00:00:00Z', 'replaces': 'Vivian Balakrishnan', 'replaced_by': 'Grace Fu'}, {'position': 'Minister-in-charge of Muslim Affairs', 'start_date': '+2018-05-01T00:00:00Z', 'end_date': '', 'replaces': 'Yaacob Ibrahim', 'replaced_by': ''}, {'position': 'Minister for Social and Family Development', 'start_date': '+2020-07-27T00:00:00Z', 'end_date': '', 'replaces': 'Desmond Lee', 'replaced_by': ''}]"
Hri Kumar Nair,Singapore,Hinduism,male,Singapore,,,,People's Action Party,,politician,Member of the Parliament of Singapore,National University of Singapore,+1966-06-16T00:00:00Z,[],Singaporean politician and lawyer,"[{'position': 'Member of the Parliament of Singapore', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the Parliament of Singapore', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the Parliament of Singapore', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
S. Rajaratnam,Singapore,Hinduism,male,Sri Lanka,,,,People's Action Party,,journalist,"Minister for Culture, Community and Youth",King's College London,+1915-02-25T00:00:00Z,['Sinnathamby Rajaratnam'],Singaporean politician (1915–2006),"[{'position': 'Minister for Culture, Community and Youth', 'start_date': '+1959-06-05T00:00:00Z', 'end_date': '+1965-08-12T00:00:00Z', 'replaces': '', 'replaced_by': 'Othman Wok'}, {'position': 'Senior Minister', 'start_date': '+1985-01-02T00:00:00Z', 'end_date': '+1988-09-03T00:00:00Z', 'replaces': '', 'replaced_by': ''}, {'position': 'Deputy Prime Minister of Singapore', 'start_date': '+1980-06-01T00:00:00Z', 'end_date': '+1985-01-01T00:00:00Z', 'replaces': 'Goh Keng Swee', 'replaced_by': 'Ong Teng Cheong'}, {'position': 'Minister for Manpower', 'start_date': '+1968-04-16T00:00:00Z', 'end_date': '+1971-07-04T00:00:00Z', 'replaces': 'Jek Yeun Thong', 'replaced_by': 'Ong Pang Boon'}, {'position': 'Minister for Foreign Affairs', 'start_date': '+1965-08-09T00:00:00Z', 'end_date': '+1980-06-01T00:00:00Z', 'replaces': '', 'replaced_by': 'S. Dhanabalan'}, {'position': 'Member of the Dewan Rakyat', 'start_date': '+1963-11-02T00:00:00Z', 'end_date': '+1965-08-09T00:00:00Z', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the Parliament of Singapore', 'start_date': '+1959-05-30T00:00:00Z', 'end_date': '+1988-08-17T00:00:00Z', 'replaces': '', 'replaced_by': ''}]"
Ang Hin Kee,Singapore,,male,Singapore,,,,People's Action Party,,politician,Member of the Parliament of Singapore,National University of Singapore,+1965-10-22T00:00:00Z,[],Singaporean politician,"[{'position': 'Member of the Parliament of Singapore', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the Parliament of Singapore', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Alvin Yeo,Singapore,,male,Singapore,,,,People's Action Party,,politician,Member of the Parliament of Singapore,Anglo-Chinese School,+1962-03-28T00:00:00Z,['Alvin Yeo Khirn Hai'],Singaporean lawyer and former politician,"[{'position': 'Member of the Parliament of Singapore', 'start_date': '+2011-05-07T00:00:00Z', 'end_date': '+2015-08-25T00:00:00Z', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the Parliament of Singapore', 'start_date': '+2006-04-27T00:00:00Z', 'end_date': '+2011-04-18T00:00:00Z', 'replaces': '', 'replaced_by': ''}]"
Vikram Nair,Singapore,,male,Singapore,,,,People's Action Party,Vikram Nair.jpg,politician,Member of the Parliament of Singapore,Trinity College,+1978-07-18T00:00:00Z,[],Singaporean politician,"[{'position': 'Member of the Parliament of Singapore', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the Parliament of Singapore', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the Parliament of Singapore', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Sin Boon Ann,Singapore,,male,Singapore,,,,People's Action Party,,politician,Member of the Parliament of Singapore,National University of Singapore,+1958-03-19T00:00:00Z,[],Member of Parliament,"[{'position': 'Member of the Parliament of Singapore', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}, {'position': 'Member of the Parliament of Singapore', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Michael Palmer,Singapore,,male,Singapore,,,,People's Action Party,Michael Palmer 2012.jpg,lawyer,Speaker of the Parliament of Singapore,University College London,+1968-07-14T00:00:00Z,['Michael Anthony Palmer'],former Singaporean politician,"[{'position': 'Speaker of the Parliament of Singapore', 'start_date': '+2011-10-12T00:00:00Z', 'end_date': '+2012-12-12T00:00:00Z', 'replaces': 'Abdullah Tarmugi', 'replaced_by': 'Halimah Yacob'}, {'position': 'Member of the Parliament of Singapore', 'start_date': '+2006-05-06T00:00:00Z', 'end_date': '+2011-04-18T00:00:00Z', 'replaces': 'Charles Chong', 'replaced_by': ''}, {'position': 'Member of the Parliament of Singapore', 'start_date': '+2011-05-07T00:00:00Z', 'end_date': '+2012-12-12T00:00:00Z', 'replaces': '', 'replaced_by': 'Lee Li Lian'}]"
P. Kamalanathan,Malaysia,Hinduism,male,Kuala Lumpur,,,,Malaysian Indian Congress,Calon Barisan Nasional.jpg,politician,Member of the Dewan Rakyat,,+1965-10-18T00:00:00Z,['Kamalanathan Panchanathan'],Malaysian politician,"[{'position': 'Member of the Dewan Rakyat', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
Syed Hashim Syed Ajam,,,male,,,,,United Malays National Organisation,,politician,,,,[],politician,[]
Koh Tsu Koon,Malaysia,,male,Penang,,,,Parti Gerakan Rakyat Malaysia,Koh Tsu Koon.jpg,politician,Chief Minister of Penang,Princeton University,+1949-08-26T00:00:00Z,[],former Chief Minister of Penang,"[{'position': 'Chief Minister of Penang', 'start_date': '', 'end_date': '', 'replaces': '', 'replaced_by': ''}]"
